Date	Y	X	Z	RASTERVALU	Tiefe [km]	Magnitude	Epizentrum
01.01.2002	50.936	6.476	-8249.25	150.75	8.4	1.5	STETTERNICH
01.01.2014	50.938	6.483	89.63	89.63	0	0.8	SOPHIENHOEHE
01.03.2007	50.861	6.247	-14056.14	143.86	14.2	2.2	ALSDORF
01.04.1999	50.932	6.456	-8124.22	275.78	8.4	1.7	STETTERNICH
01.04.1999	50.935	6.448	-5329.58	270.42	5.6	1.9	STETTERNICH
01.04.1999	50.741	6.203	-9037.71	262.29	9.3	0.6	S. KLEVE
01.05.1992	50.866	6.179	-5832.55	167.45	6	-	ALSDORF
01.05.2005	50.916	6.119	-16479	121	16.6	1.8	UEBACH-PALENBERG
01.07.2002	50.824	6.369	-10876.79	123.21	11	1.8	LANGERWEHE
01.07.2002	50.825	6.362	-11078.29	121.71	11.2	1.6	LANGERWEHE
01.07.2010	50.899	6.381	-13712.71	87.29	13.8	0.4	S. JUELICH
01.07.2015	50.929	6.43	-4060.23	239.77	4.3	0.9	STETTERNICH
01.08.1993	50.838	6.217	-16816.36	183.64	17	1.7	ALSDORF
01.08.1993	50.87	6.196	-12639.85	160.15	12.8	1.2	ALSDORF
01.08.1993	50.87	6.201	-12752.7	147.3	12.9	0.9	ALSDORF
01.08.1993	50.873	6.188	-11940.24	159.76	12.1	1.6	ALSDORF
01.08.2016	50.924	6.55	-1227.71	-127.71	1.1	1.7	ETZWEILER
01.09.2014	50.81	6.41	-5573.65	126.35	5.7	-0.1	VOSSENACK
01.11.2012	50.937	6.474	71.35	171.35	0.1	0.9	E.JUELICH
02.01.2011	50.705	6.278	-5561.33	338.67	5.9	-0.1	ZWEIFALL
02.02.2014	50.818	6.265	-14662.43	137.57	14.8	0.6	ESCHWEILER
02.03.2007	50.877	6.411	-6405.33	94.67	6.5	0.9	HUERTGENWALD
02.04.1996	50.9	6.286	-2690.98	109.02	2.8	2	LUETZKAMPEN
02.04.2014	50.853	6.105	-20342.78	157.22	20.5	0.7	HERZOGENRATH
02.06.2016	50.827	6.319	-17181.98	118.02	17.3	2.2	WEISWEILER
02.09.2007	50.823	6.287	-11638.55	161.45	11.8	0.6	ESCHWEILER
02.09.2014	50.777	6.033	-14994.33	205.67	15.2	0.4	AACHEN
02.11.2005	50.867	6.257	-4669.17	130.83	4.8	1.5	ALSDORF
02.11.2010	50.799	6.541	-11967.87	132.13	12.1	0.2	DUEREN
02.12.2008	50.826	6.506	-13875.1	124.9	14	0.3	DUEREN
03.01.1986	50.95	6.496	-10311.93	88.07	10.4	0.7	ESCH
03.01.1988	50.941	6.496	-2423.87	76.13	2.5	0.7	W. ELSDORF
03.01.2009	50.914	6.409	-16409.51	90.49	16.5	0.7	JUELICH
03.01.2010	50.791	6.275	-11918.57	181.43	12.1	1.3	ESCHWEILER
03.02.1984	50.873	6.282	-14069.53	130.47	14.2	1	S. ALDENHOVEN
03.05.1993	50.85	6.223	-12740.47	159.53	12.9	1.3	SE. ALSDORF
03.06.2015	50.805	6.171	-17904.85	195.15	18.1	0.8	WUERSELEN
03.06.2019	50.807	6.229	-14812.44	187.56	15	0.6	STOLBERG
03.07.2016	50.941	6.469	-82.51	217.49	0.3	0.2	SOPHIENHOEHE
03.08.2002	50.881	6.252	-10766.96	133.04	10.9	1.5	ALSDORF
03.08.2015	50.92	6.552	-1227.56	-227.56	1	1.6	BERRENDORF
03.09.2005	50.829	6.295	-10358.54	141.46	10.5	1	ESCHWEILER
03.11.2011	50.796	6.194	-11927.01	172.99	12.1	0.7	W. ESCHWEILER
03.12.2018	50.767	6.381	-15422.06	277.94	15.7	1.4	SCHEVENHUETTE
04.01.2004	50.856	6.234	-18350.15	149.85	18.5	1.3	DUERWISS
04.01.2004	50.854	6.261	-15251.54	148.46	15.4	1.8	DUERWISS
04.02.2005	50.737	6.402	-6014.87	385.13	6.4	0.4	GROSSHAU
04.02.2009	50.704	6.321	-4374.81	425.19	4.8	0.3	HUERTGENWALD
04.03.1988	50.744	6.319	-13094.98	305.02	13.4	1.6	SE. STOLBERG
04.03.2009	50.894	6.218	-12473.69	126.31	12.6	1.5	ALSDORF
04.03.2016	50.931	6.473	-878.52	221.48	1.1	0.8	S. ROEDINGEN
04.04.2017	50.903	6.108	-13376.99	123.01	13.5	1.4	UEBACH-PALENBERG
04.06.2002	50.86	6.46	-11087.58	112.42	11.2	1.6	NIEDERZIER
04.06.2007	50.825	6.296	-13868.27	131.73	14	2.1	ESCHWEILER
04.06.2017	50.894	6.112	-11923.94	176.06	12.1	1.1	MERKSTEIN
